#queryIndex	queryItem	stringId	preferredName	annotation
1	TSPAN14	9606.ENSP00000361231	TSPAN14	Tetraspanin-14; Regulates maturation and trafficking of the transmembrane metalloprotease ADAM10. Negatively regulates ADAM10-mediated cleavage of GP6 (By similarity). Promotes ADAM10-mediated cleavage of CDH5 (By similarity).
2	TTYH1	9606.ENSP00000365714	TTYH1	Protein tweety homolog 1; Probable chloride channel. May be involved in cell adhesion (By similarity); Belongs to the tweety family.
4	ENSG00000276256	9606.ENSP00000484596	LOC389831	Uncharacterized LOC389831.
5	ZMAT4	9606.ENSP00000297737	ZMAT4	Zinc finger matrin-type 4.
6	RP9	9606.ENSP00000297157	RP9	Retinitis pigmentosa 9 protein; Is thought to be a target protein for the PIM1 kinase. May play some roles in B-cell proliferation in association with PIM1 (By similarity).
7	LRAT	9606.ENSP00000337224	LRAT	Lecithin retinol acyltransferase; Transfers the acyl group from the sn-1 position of phosphatidylcholine to all-trans retinol, producing all-trans retinyl esters. Retinyl esters are storage forms of vitamin A (Probable). LRAT plays a critical role in vision (Probable). It provides the all-trans retinyl ester substrates for the isomerohydrolase which processes the esters into 11-cis-retinol in the retinal pigment epithelium; due to a membrane-associated alcohol dehydrogenase, 11 cis-retinol is oxidized and converted into 11-cis- retinaldehyde which is the chromophore for rhodopsin and t [...] 
8	PRICKLE1	9606.ENSP00000345064	PRICKLE1	Prickle-like protein 1; Involved in the planar cell polarity pathway that controls convergent extension during gastrulation and neural tube closure. Convergent extension is a complex morphogenetic process during which cells elongate, move mediolaterally, and intercalate between neighboring cells, leading to convergence toward the mediolateral axis and extension along the anteroposterior axis. Necessary for nuclear localization of REST. May serve as nuclear receptor.
9	ATXN7L3	9606.ENSP00000397259	ATXN7L3	Ataxin-7-like protein 3; Component of the transcription regulatory histone acetylation (HAT) complex SAGA, a multiprotein complex that activates transcription by remodeling chromatin and mediating histone acetylation and deubiquitination. Within the SAGA complex, participates in a subcomplex that specifically deubiquitinates both histones H2A and H2B. The SAGA complex is recruited to specific gene promoters by activators such as MYC, where it is required for transcription. Required for nuclear receptor-mediated transactivation. Within the complex, it is required to recruit USP22 and EN [...] 
10	ABHD10	9606.ENSP00000273359	ABHD10	Mycophenolic acid acyl-glucuronide esterase, mitochondrial; Catalyzes the deglucuronidation of mycophenolic acid acyl- glucuronide, a metabolite of the immunosuppressant drug mycophenolate. Belongs to the AB hydrolase superfamily.
12	TMEM167B	9606.ENSP00000342148	TMEM167B	Protein kish-B; Involved in the early part of the secretory pathway. Belongs to the KISH family.
13	PNMA6A	9606.ENSP00000391488	PNMA6A	Paraneoplastic antigen-like protein 6A; PNMA family member 6A; Belongs to the PNMA family.
14	ESAM	9606.ENSP00000278927	ESAM	Endothelial cell-selective adhesion molecule; Can mediate aggregation most likely through a homophilic molecular interaction.
15	IGLON5	9606.ENSP00000270642	IGLON5	IgLON family member 5.
16	CPAMD8	9606.ENSP00000498697	CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8; Belongs to the protease inhibitor I39 (alpha-2- macroglobulin) family.
17	TAS2R1	9606.ENSP00000371932	TAS2R1	Taste receptor type 2 member 1; Receptor that may play a role in the perception of bitterness and is gustducin-linked. May play a role in sensing the chemical composition of the gastrointestinal content. The activity of this receptor may stimulate alpha gustducin, mediate PLC-beta-2 activation and lead to the gating of TRPM5; Belongs to the G-protein coupled receptor T2R family.
18	SSTR1	9606.ENSP00000267377	SSTR1	Somatostatin receptor type 1; Receptor for somatostatin with higher affinity for somatostatin-14 than -28. This receptor is coupled via pertussis toxin sensitive G proteins to inhibition of adenylyl cyclase. In addition it stimulates phosphotyrosine phosphatase and Na(+)/H(+) exchanger via pertussis toxin insensitive G proteins.
19	DRD1	9606.ENSP00000377353	DRD1	D(1A) dopamine receptor; Dopamine receptor whose activity is mediated by G proteins which activate adenylyl cyclase; Belongs to the G-protein coupled receptor 1 family.
20	IP6K1	9606.ENSP00000482032	IP6K1	Inositol hexakisphosphate kinase 1; Converts inositol hexakisphosphate (InsP6) to diphosphoinositol pentakisphosphate (InsP7/PP-InsP5). Converts 1,3,4,5,6-pentakisphosphate (InsP5) to PP-InsP4; Belongs to the inositol phosphokinase (IPK) family.
21	SUCNR1	9606.ENSP00000355156	SUCNR1	Succinate receptor 1; Receptor for succinate.
23	RTL6	9606.ENSP00000340434	RTL6	Retrotransposon Gag like 6.
24	PPP1R11	9606.ENSP00000365963	PPP1R11	E3 ubiquitin-protein ligase PPP1R11; Atypical E3 ubiquitin-protein ligase which ubiquitinates TLR2 at 'Lys-754' leading to its degradation by the proteasome. Plays a role in regulating inflammatory cytokine release and gram-positive bacterial clearance by functioning, in part, through the ubiquitination and degradation of TLR2. Inhibitor of protein phosphatase 1.
25	RFPL2	9606.ENSP00000383096	RFPL2	Ret finger protein like 2.
26	LRRC55	9606.ENSP00000498533	LRRC55	Leucine-rich repeat-containing protein 55; Auxiliary protein of the large-conductance, voltage and calcium-activated potassium channel (BK alpha). Modulates gating properties by producing a marked shift in the BK channel's voltage dependence of activation in the hyperpolarizing direction, and in the absence of calcium.
27	TRIB2	9606.ENSP00000155926	TRIB2	Tribbles homolog 2; Interacts with MAPK kinases and regulates activation of MAP kinases. Does not display kinase activity (By similarity). Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. Tribbles subfamily.
28	RGS6	9606.ENSP00000451030	RGS6	Regulator of G-protein signaling 6; Regulates G protein-coupled receptor signaling cascades. Inhibits signal transduction by increasing the GTPase activity of G protein alpha subunits, thereby driving them into their inactive GDP- bound form. The RGS6/GNB5 dimer enhances GNAO1 GTPase activity.
29	KLHL25	9606.ENSP00000336800	KLHL25	Kelch-like protein 25; Substrate-specific adapter of a BCR (BTB-CUL3-RBX1) E3 ubiquitin ligase complex required for translational homeostasis. The BCR(KLHL25) ubiquitin ligase complex acts by mediating ubiquitination of hypophosphorylated EIF4EBP1 (4E-BP1): ubiquitination and subsequent degradation of hypophosphorylated EIF4EBP1 (4E-BP1) probably serves as a homeostatic mechanism to maintain translation and prevent eIF4E inhibition when eIF4E levels are low. The BCR(KLHL25) complex does not target EIF4EBP1 (4E-BP1) when it is hyperphosphorylated or associated with eIF4E.
30	SDC3	9606.ENSP00000344468	SDC3	Syndecan-3; Cell surface proteoglycan that may bear heparan sulfate (By similarity). May have a role in the organization of cell shape by affecting the actin cytoskeleton, possibly by transferring signals from the cell surface in a sugar-dependent mechanism.
32	PHF1	9606.ENSP00000363640	PHF1	PHD finger protein 1; Polycomb group (PcG) that specifically binds histone H3 trimethylated at 'Lys-36' (H3K36me3) and recruits the PRC2 complex. Involved in DNA damage response and is recruited at double-strand breaks (DSBs). Acts by binding to H3K36me3, a mark for transcriptional activation, and recruiting the PRC2 complex: it is however unclear whether recruitment of the PRC2 complex to H3K36me3 leads to enhance or inhibit H3K27me3 methylation mediated by the PRC2 complex. According to some reports, PRC2 recruitment by PHF1 promotes H3K27me3 and subsequent gene silencing by inducing [...] 
33	NDNF	9606.ENSP00000369014	NDNF	Protein NDNF; Promotes matrix assembly and cell adhesiveness (By similarity). Promotes neuron migration, growth and survival as well as neurite outgrowth. Promotes endothelial cell survival, vessel formation and plays an important role in the process of revascularization through NOS3-dependent mechanisms.
34	SKOR2	9606.ENSP00000414750	SKOR2	SKI family transcriptional corepressor 2; Exhibits transcriptional repressor activity (By similarity). Acts as a TGF-beta antagonist in the nervous system.
35	DHRS13	9606.ENSP00000368173	DHRS13	Dehydrogenase/reductase SDR family member 13; Putative oxidoreductase.
36	BHLHE22	9606.ENSP00000318799	BHLHE22	Class E basic helix-loop-helix protein 22; Inhibits DNA binding of TCF3/E47 homodimers and TCF3 (E47)/NEUROD1 heterodimers and acts as a strong repressor of Neurod1 and Myod-responsive genes, probably by heterodimerization with class a basic helix-loop-helix factors. Despite the presence of an intact basic domain, does not bind to DNA (By similarity). In the brain, may function as an area-specific transcription factor that regulates the postmitotic acquisition of area identities and elucidate the genetic hierarchy between progenitors and postmitotic neurons driving neocortical arealiza [...] 
38	MVD	9606.ENSP00000301012	MVD	Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprenes.
39	UBE2E3	9606.ENSP00000473623	UBE2E3	Ubiquitin-conjugating enzyme E2 E3; Accepts ubiquitin from the E1 complex and catalyzes its covalent attachment to other proteins. In vitro catalyzes 'Lys-11'- and 'Lys-48'-, as well as 'Lys-63'-linked polyubiquitination. Participates in the regulation of transepithelial sodium transport in renal cells. May be involved in cell growth arrest.
40	AREL1	9606.ENSP00000348714	AREL1	Apoptosis-resistant E3 ubiquitin protein ligase 1; E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates. Inhibits apoptosis by ubiquitinating and targeting for degradation a number of proapoptotic proteins including DIABLO/SMAC, HTRA2 and SEPT4/ARTS which are released from the mitochondrion into the cytosol following apoptotic stimulation.
41	GDI1	9606.ENSP00000394071	GDI1	Rab GDP dissociation inhibitor alpha; Regulates the GDP/GTP exchange reaction of most Rab proteins by inhibiting the dissociation of GDP from them, and the subsequent binding of GTP to them. Promotes the dissociation of GDP-bound Rab proteins from the membrane and inhibits their activation. Promotes the dissociation of RAB1A, RAB3A, RAB5A and RAB10 from membranes.
42	CALB2	9606.ENSP00000307508	CALB2	Calretinin; Calretinin is a calcium-binding protein which is abundant in auditory neurons; Belongs to the calbindin family.
44	ZNF324	9606.ENSP00000444812	ZNF324	Zinc finger protein 324A; May be involved in transcriptional regulation. May be involved in regulation of cell proliferation. Belongs to the krueppel C2H2-type zinc-finger protein family.
45	GPAT4	9606.ENSP00000380184	GPAT4	Glycerol-3-phosphate acyltransferase 4; Converts glycerol-3-phosphate to 1-acyl-sn-glycerol-3- phosphate (lysophosphatidic acid or LPA) by incorporating an acyl moiety at the sn-1 position of the glycerol backbone. Active against both saturated and unsaturated long-chain fatty acyl- CoAs ; Belongs to the 1-acyl-sn-glycerol-3-phosphate acyltransferase family.
46	ZNF671	9606.ENSP00000321848	ZNF671	Zinc finger protein 671; May be involved in transcriptional regulation; Belongs to the krueppel C2H2-type zinc-finger protein family.
47	NAB2	9606.ENSP00000300131	NAB2	NGFI-A-binding protein 2; Acts as a transcriptional repressor for zinc finger transcription factors EGR1 and EGR2. Isoform 2 lacks repression ability (By similarity); Belongs to the NAB family.
48	RASSF2	9606.ENSP00000368710	RASSF2	Ras association domain-containing protein 2; Potential tumor suppressor. Acts as a KRAS-specific effector protein. May promote apoptosis and cell cycle arrest. Stabilizes STK3/MST2 by protecting it from proteasomal degradation.
49	NKAIN4	9606.ENSP00000359340	NKAIN4	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 4; Sodium/potassium transporting ATPase interacting 4; Belongs to the NKAIN family.
50	ADCY2	9606.ENSP00000342952	ADCY2	Adenylate cyclase type 2; Catalyzes the formation of the signaling molecule cAMP in response to G-protein signaling. Down-stream signaling cascades mediate changes in gene expression patterns and lead to increased IL6 production. Functions in signaling cascades downstream of the muscarinic acetylcholine receptors (By similarity). Belongs to the adenylyl cyclase class-4/guanylyl cyclase family.
51	ZBTB22	9606.ENSP00000407545	ZBTB22	Zinc finger and BTB domain-containing protein 22; May be involved in transcriptional regulation.
52	NXPH3	9606.ENSP00000329295	NXPH3	Neurexophilin-3; May be signaling molecules that resemble neuropeptides. Ligand for alpha-neurexins (By similarity); Belongs to the neurexophilin family.
53	SEMA6C	9606.ENSP00000357909	SEMA6C	Semaphorin-6C; Shows growth cone collapsing activity on dorsal root ganglion (DRG) neurons in vitro. May be a stop signal for the DRG neurons in their target areas, and possibly also for other neurons. May also be involved in the maintenance and remodeling of neuronal connections. Belongs to the semaphorin family.
54	RRAGB	9606.ENSP00000262850	RRAGB	Ras-related GTP-binding protein B; Guanine nucleotide-binding protein that plays a crucial role in the cellular response to amino acid availability through regulation of the mTORC1 signaling cascade. Forms heterodimeric Rag complexes with RRAGC or RRAGD and cycles between an inactive GDP-bound and an active GTP-bound form. In its active form participates in the relocalization of mTORC1 to the lysosomes and its subsequent activation by the GTPase RHEB. Involved in the RCC1/Ran-GTPase pathway. Belongs to the GTR/RAG GTP-binding protein family.
55	ESS2	9606.ENSP00000252137	ESS2	Splicing factor ESS-2 homolog; May be involved in pre-mRNA splicing.
56	TRPC3	9606.ENSP00000368966	TRPC3	Short transient receptor potential channel 3; Thought to form a receptor-activated non-selective calcium permeant cation channel. Probably is operated by a phosphatidylinositol second messenger system activated by receptor tyrosine kinases or G- protein coupled receptors. Activated by diacylglycerol (DAG) in a membrane-delimited fashion, independently of protein kinase C, and by inositol 1,4,5-triphosphate receptors (ITPR) with bound IP3. May also be activated by internal calcium store depletion.
57	HS6ST3	9606.ENSP00000365895	HS6ST3	Heparan-sulfate 6-O-sulfotransferase 3; 6-O-sulfation enzyme which catalyzes the transfer of sulfate from 3'-phosphoadenosine 5'-phosphosulfate (PAPS) to position 6 of the N-sulfoglucosamine residue (GlcNS) of heparan sulfate.
58	CCDC3	9606.ENSP00000368102	CCDC3	Coiled-coil domain-containing protein 3; Negatively regulates TNF-alpha-induced pro-inflammatory response in endothelial cells (ECs) via inhibition of TNF-alpha-induced NF-kappaB activation in ECs. Positively regulates lipid accumulation in adipose cells (By similarity).
59	DNAJC5	9606.ENSP00000354111	DNAJC5	DnaJ homolog subfamily C member 5; Acts as a general chaperone in regulated exocytosis (By similarity). Acts as a co-chaperone for the SNARE protein SNAP-25 (By similarity). Involved in the calcium-mediated control of a late stage of exocytosis (By similarity). May have an important role in presynaptic function. May be involved in calcium-dependent neurotransmitter release at nerve endings (By similarity).
60	SLA	9606.ENSP00000394049	SLA	Src-like-adapter; Adapter protein, which negatively regulates T-cell receptor (TCR) signaling. Inhibits T-cell antigen-receptor induced activation of nuclear factor of activated T-cells. Involved in the negative regulation of positive selection and mitosis of T-cells. May act by linking signaling proteins such as ZAP70 with CBL, leading to a CBL dependent degradation of signaling proteins.
61	AQP11	9606.ENSP00000318770	AQP11	Aquaporin-11; Channel protein that facilitates the transport of water, glycerol and hydrogen peroxide across membrane of cell or organelles guaranteeing intracellular homeostasis in several organes like liver, kidney and brain. In situation of stress, participates in endoplasmic reticulum (ER) homeostasis by regulating redox homeostasis through the transport of hydrogen peroxide across the endoplasmic reticulum membrane thereby regulating the oxidative stress through the NADPH oxidase 2 pathway. Plays a role by maintaining an environment suitable for translation or protein foldings in  [...] 
63	PPIL3	9606.ENSP00000286175	PPIL3	Peptidyl-prolyl cis-trans isomerase-like 3; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides. May be involved in pre-mRNA splicing; Belongs to the cyclophilin-type PPIase family. PPIL3 subfamily.
64	TBC1D19	9606.ENSP00000264866	TBC1D19	TBC1 domain family member 19; May act as a GTPase-activating protein for Rab family protein(s).
